formula,target
Ti0.21 Ni0.34 Zr0.45 ,41.0
Ti0.07 Cu0.6 Zr0.33 ,28.0
Al0.19 Co0.19 Cu0.0475 Zr0.5225000000000001 Ag0.05 ,59.0
Al0.04 Ni0.61 Zr0.28 Nb0.07 ,50.0
P0.2 Ni0.125 Cu0.3 Pd0.375 ,75.0
Al0.15 Co0.075 Cu0.225 Zr0.55 ,105.0
Ti0.1 Cu0.55 Zr0.3 Ag0.05 ,29.0
Al0.15 Ni0.1 Cu0.19 Y0.02 Zr0.54 ,73.0
P0.2 Ni0.4 Pd0.4 ,72.5
Al0.06998934172461048 Si0.00015226107699335125 Cu0.4999238694615033 Zr0.4299345277368928 ,61.0
Al0.07 Cu0.5 Zr0.43 ,69.5
Al0.06998571720057131 Si0.00020403999183840035 Cu0.4998979800040808 Zr0.4299122628035095 ,60.0
Al0.06999293000706999 Si0.000100999899000101 Cu0.4999495000504999 Zr0.42995657004343 ,77.0
Al0.14 Ni0.1 Cu0.19 Y0.04 Zr0.53 ,98.0
Al0.1 Ti0.05 Ni0.146 Cu0.179 Zr0.525 ,62.0
Al0.18600000000000005 Co0.18600000000000005 Cu0.046500000000000014 Zr0.5115000000000001 Ag0.07 ,53.0
Al0.07 Cu0.47 Zr0.43 Ag0.03 ,81.0
Be0.06 Al0.08 Cu0.3164 Zr0.46 Ag0.0836 ,95.0
P0.2 Ni0.15 Cu0.25 Pd0.4 ,72.0
P0.2 Ni0.1 Cu0.3 Pd0.4 ,77.67500000000003
Al0.07 Cu0.46 Y0.02 Zr0.45 ,77.0
P0.2 Ni0.075 Cu0.325 Pd0.4 ,86.0
Al0.07 Cu0.45 Zr0.45 Ag0.03 ,78.0
Al0.07 Cu0.46 Y0.1 Zr0.37 ,78.0
Cu0.64 Zr0.36 ,46.0
Ti0.17 Ni0.2 Cu0.14 Zr0.49 ,38.0
Al0.07 Cu0.46 Y0.05 Zr0.42 ,100.0
Ni0.6 Zr0.2 Nb0.2 ,38.0
